Commit hash, Repository name, Author name, Filename, nloc, cyclomatic complexity, Num lines added, Num lines removed, Change type, Label
3c5ab4f7ae6827a90a5c72a1befe92d57436f189,commons-compress,Stefan Bodewig,ZipArchiveEntry.java,293,89,12,12,MODIFY,NPR
14684241489dbe1b607aafd3423ebaf34be377b1,commons-compress,Stefan Bodewig,CpioArchiveOutputStream.java,269,60,28,2,MODIFY,NPR
14684241489dbe1b607aafd3423ebaf34be377b1,commons-compress,Stefan Bodewig,CpioConstants.java,36,0,3,0,MODIFY,NPR
b11dca2f006da939879c9729a8af09f8519df007,commons-compress,Stefan Bodewig,CpioArchiveEntry.java,281,86,4,2,MODIFY,NPR
b11dca2f006da939879c9729a8af09f8519df007,commons-compress,Stefan Bodewig,CpioArchiveOutputStream.java,318,70,82,16,MODIFY,NPR
bed564b55d405bea0be8379576676e5a9be83493,commons-compress,Stefan Bodewig,ArchiveStreamFactory.java,107,25,15,22,MODIFY,NPR
bed564b55d405bea0be8379576676e5a9be83493,commons-compress,Stefan Bodewig,TarArchiveEntry.java,298,71,1,1,MODIFY,NPR
bed564b55d405bea0be8379576676e5a9be83493,commons-compress,Stefan Bodewig,ZipEncodingHelper.java,133,14,3,9,MODIFY,NPR
bed564b55d405bea0be8379576676e5a9be83493,commons-compress,Stefan Bodewig,CompressorStreamFactory.java,75,18,6,12,MODIFY,NPR
57cb8c89cf8a8ae285cd03ad2397bbb137006c86,commons-compress,Stefan Bodewig,CpioArchiveEntry.java,293,89,86,11,MODIFY,NPR
6179d0e9ed81b74fd721d3d98d211f2d6ae2c5bf,commons-compress,Stefan Bodewig,ZipUtil.java,95,19,1,1,MODIFY,NPR
2dca66105a3ec80f99a48ed8c43e3988cc86e84e,commons-compress,Stefan Bodewig,ArchiveInputStream.java,30,8,32,4,MODIFY,NPR
2dca66105a3ec80f99a48ed8c43e3988cc86e84e,commons-compress,Stefan Bodewig,ArchiveOutputStream.java,31,6,28,8,MODIFY,NPR
2dca66105a3ec80f99a48ed8c43e3988cc86e84e,commons-compress,Stefan Bodewig,ArArchiveInputStream.java,148,37,3,3,MODIFY,NPR
2dca66105a3ec80f99a48ed8c43e3988cc86e84e,commons-compress,Stefan Bodewig,CpioArchiveInputStream.java,294,72,5,5,MODIFY,NPR
2dca66105a3ec80f99a48ed8c43e3988cc86e84e,commons-compress,Stefan Bodewig,TarArchiveInputStream.java,191,47,1,1,MODIFY,NPR
2dca66105a3ec80f99a48ed8c43e3988cc86e84e,commons-compress,Stefan Bodewig,CompressorInputStream.java,19,5,22,2,MODIFY,NPR
a1015f312480c697c8dbc2772e4076eb15e41406,commons-compress,Stefan Bodewig,ZipArchiveInputStream.java,269,64,4,0,MODIFY,NPR
21148e7b5bc4cf6d0c38dc80bed5d7eb709897e1,commons-compress,Stefan Bodewig,TarArchiveOutputStream.java,339,67,2,4,MODIFY,PR
a2f978e97f13697e7adfddc3f96a9131803db679,commons-compress,Stefan Bodewig,ArArchiveInputStream.java,232,60,24,21,MODIFY,PR
a2f978e97f13697e7adfddc3f96a9131803db679,commons-compress,Stefan Bodewig,CpioArchiveInputStream.java,299,72,16,13,MODIFY,PR
a2f978e97f13697e7adfddc3f96a9131803db679,commons-compress,Stefan Bodewig,TarArchiveInputStream.java,347,85,8,6,MODIFY,PR
a2f978e97f13697e7adfddc3f96a9131803db679,commons-compress,Stefan Bodewig,Zip64ExtendedInformationExtraField.java,180,50,3,2,MODIFY,PR
a2f978e97f13697e7adfddc3f96a9131803db679,commons-compress,Stefan Bodewig,ZipArchiveEntry.java,338,99,2,1,MODIFY,PR
a2f978e97f13697e7adfddc3f96a9131803db679,commons-compress,Stefan Bodewig,ZipArchiveInputStream.java,500,122,34,28,MODIFY,PR
a2f978e97f13697e7adfddc3f96a9131803db679,commons-compress,Stefan Bodewig,ZipArchiveOutputStream.java,738,165,3,1,MODIFY,PR
a2f978e97f13697e7adfddc3f96a9131803db679,commons-compress,Stefan Bodewig,ZipFile.java,534,80,39,51,MODIFY,PR
a2f978e97f13697e7adfddc3f96a9131803db679,commons-compress,Stefan Bodewig,GzipCompressorInputStream.java,178,43,4,2,MODIFY,PR
d2bcb0371967f313aa9710f12725c20a5650dc93,commons-compress,Stefan Bodewig,TarBuffer.java,209,55,6,8,MODIFY,PR
a671a703fe86b69adb8c61495a915065c186362d,commons-compress,Stefan Bodewig,TarArchiveInputStream.java,357,90,158,107,MODIFY,PR
a671a703fe86b69adb8c61495a915065c186362d,commons-compress,Stefan Bodewig,TarArchiveOutputStream.java,370,74,67,15,MODIFY,PR
a671a703fe86b69adb8c61495a915065c186362d,commons-compress,Stefan Bodewig,TarBuffer.java,None,None,0,433,DELETE,PR
